Timestamp,ID,Time Since Begining (s),Current Throughput (Mbps),Average Throughput (Mbps),60Sec_Average Throughput (Mbps),Sent count,Retransmission Count,CPU Usage (%),Memory Usage (%)
06_25_2024_19_50_37,06_25_2024_19_50_35,1.0,1635.78,1635.78,1635.78,144730,2,13.9,2.0
06_25_2024_19_50_39,06_25_2024_19_50_35,3.0,2126.51,1962.93,1881.14,369090,0,8.1,2.0
06_25_2024_19_50_41,06_25_2024_19_50_35,5.0,2143.29,2035.08,1968.53,511810,2,8.1,2.0
06_25_2024_19_50_43,06_25_2024_19_50_35,7.0,2130.71,2062.4,2009.07,738401,0,7.8,2.0
06_25_2024_19_50_45,06_25_2024_19_50_35,9.0,2143.29,2080.37,2035.92,882013,2,8.1,2.0
06_25_2024_19_50_47,06_25_2024_19_50_35,11.0,2004.88,2066.65,2030.74,1085783,601,8.0,2.0
06_25_2024_19_50_49,06_25_2024_19_50_35,13.0,1824.52,2029.4,2001.28,1195907,30,8.0,2.0
06_25_2024_19_50_51,06_25_2024_19_50_35,15.0,1790.97,1997.61,1974.99,1393751,637,8.0,2.0
06_25_2024_19_50_53,06_25_2024_19_50_35,17.0,1736.44,1966.88,1948.49,1498669,30,9.4,1.8
06_25_2024_19_50_55,06_25_2024_19_50_35,19.0,1807.75,1950.13,1934.41,1703154,637,7.8,1.8
06_25_2024_19_50_57,06_25_2024_19_50_35,21.0,1795.16,1935.37,1921.75,1809440,30,8.0,1.8
06_25_2024_19_50_59,06_25_2024_19_50_35,23.1,1673.73,1911.59,1901.09,2004119,672,7.9,1.8
06_25_2024_19_51_01,06_25_2024_19_50_35,25.1,1434.45,1873.57,1865.19,2058413,59,8.0,1.8
06_25_2024_19_51_03,06_25_2024_19_50_35,27.1,1384.12,1837.45,1830.83,2242314,672,7.9,1.8
06_25_2024_19_51_05,06_25_2024_19_50_35,29.1,1497.37,1814.07,1808.6,2318610,59,8.1,1.8
06_25_2024_19_51_07,06_25_2024_19_50_35,31.1,1568.67,1798.29,1793.6,2512427,672,8.1,1.8
06_25_2024_19_51_09,06_25_2024_19_50_35,33.1,1593.84,1785.94,1781.85,2593030,59,7.8,1.8
06_25_2024_19_51_11,06_25_2024_19_50_35,35.1,1585.45,1774.51,1770.94,2787208,672,7.9,1.8
06_25_2024_19_51_13,06_25_2024_19_50_35,37.1,1598.03,1765.0,1761.84,2868851,59,7.8,1.8
06_25_2024_19_51_15,06_25_2024_19_50_35,39.1,1623.2,1757.75,1754.91,3067476,672,7.9,1.8
06_25_2024_19_51_17,06_25_2024_19_50_35,41.1,1694.5,1754.67,1752.03,3160811,59,7.9,1.8
06_25_2024_19_51_19,06_25_2024_19_50_35,43.1,1799.36,1756.74,1754.18,3380776,672,8.1,1.8
06_25_2024_19_51_21,06_25_2024_19_50_35,45.1,1505.76,1745.61,1743.38,3418678,126,8.2,1.8
06_25_2024_19_51_23,06_25_2024_19_50_35,47.1,1501.56,1735.25,1733.31,3638825,680,8.2,1.8
06_25_2024_19_51_25,06_25_2024_19_50_35,49.1,1451.23,1723.68,1722.02,3670856,132,7.9,1.8
06_25_2024_19_51_27,06_25_2024_19_50_35,51.1,1291.85,1706.78,1705.48,3859459,690,8.0,1.8
06_25_2024_19_51_29,06_25_2024_19_50_35,53.1,1296.04,1691.31,1690.31,3897146,132,7.9,1.8
06_25_2024_19_51_31,06_25_2024_19_50_35,55.1,1329.59,1678.18,1677.43,4086706,690,8.0,1.8
06_25_2024_19_51_33,06_25_2024_19_50_35,57.1,1325.4,1665.82,1665.29,4127869,132,8.2,1.8
06_25_2024_19_51_35,06_25_2024_19_50_35,59.1,1358.95,1655.44,1655.08,4320156,690,7.9,1.8
06_25_2024_19_51_37,06_25_2024_19_50_35,61.1,1384.12,1646.56,1646.34,4368184,132,8.0,1.8
06_25_2024_19_51_39,06_25_2024_19_50_35,63.1,1451.23,1640.37,1640.24,4571069,690,7.9,1.8
06_25_2024_19_51_41,06_25_2024_19_50_35,65.1,1593.84,1638.94,1638.84,4642252,132,8.3,1.9
06_25_2024_19_51_43,06_25_2024_19_50_35,67.1,1753.22,1642.34,1642.2,4876423,690,8.0,1.9
06_25_2024_19_51_45,06_25_2024_19_50_35,69.1,1933.57,1650.77,1650.53,4975281,132,7.9,1.9
06_25_2024_19_51_47,06_25_2024_19_50_35,71.1,1891.63,1657.55,1657.22,5203539,762,8.4,1.9
06_25_2024_19_51_49,06_25_2024_19_50_35,73.1,1488.98,1652.93,1652.68,2115638,483,8.1,1.9
06_25_2024_19_51_51,06_25_2024_19_50_35,75.1,1048.58,1636.84,1636.78,1473076,370,7.9,1.9
